"CITY & COUNTY RATES & CODES FOR SALES AND USE TAX"
"OKLAHOMA TAX COMMISSION"
"Tax Type","COPO Number","City/County","Current Rate","Effective Date","Expiration Date","Previous Rate","Effective Date","Expiration Date","Previous Rate","Effective Date","Expiration Date"
"STU","0088","UNINCORPORATED COUNTY","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0106","BUNCH","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0113","PROCTOR","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0114","STILWELL","003.5000000%","10/01/88","00/00/00","002.0000000%","09/01/87","09/30/88","000.0000000%","00/00/00","08/31/87"
"STU","0115","WATTS","004.0000000%","07/01/09","00/00/00","000.0000000%","05/01/74","06/30/09","000.0000000%","00/00/00","04/30/74"
"STU","0117","WESTVILLE","003.7500000%","10/01/04","00/00/00","003.0000000%","06/01/92","09/30/04","002.0000000%","11/01/89","05/31/92"
"STU","0188","ADAIR COUNTY","000.7500000%","04/01/01","00/00/00","000.5000000%","10/01/00","03/31/01","000.0000000%","00/00/00","09/30/00"
"STU","0203","ALINE","003.0000000%","07/01/11","00/00/00","001.0000000%","01/01/10","06/30/11","000.0000000%","02/01/74","12/31/09"
"STU","0204","AMORITA","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0205","BURLINGTON","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0206","BYRON","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0207","CARMEN","003.0000000%","07/01/99","00/00/00","002.0000000%","10/01/94","06/30/99","000.0000000%","00/00/00","09/30/94"
"STU","0208","CHEROKEE","003.2500000%","07/01/99","00/00/00","003.0000000%","03/01/95","06/30/99","000.0000000%","00/00/00","02/28/95"
"STU","0209","DRIFTWOOD","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0213","GOLTRY","003.0000000%","10/01/04","00/00/00","002.0000000%","01/01/91","09/30/04","000.0000000%","00/00/00","12/31/90"
"STU","0214","HELENA","003.0000000%","02/01/91","00/00/00","000.0000000%","00/00/00","01/31/91","000.0000000%","00/00/00","00/00/00"
"STU","0215","INGERSOL","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0216","JET","003.0000000%","09/01/94","00/00/00","000.0000000%","00/00/00","08/31/94","000.0000000%","00/00/00","00/00/00"
"STU","0288","ALFALFA COUNTY","002.0000000%","01/01/09","00/00/00","001.2500000%","10/01/04","12/31/08","001.0000000%","01/01/01","09/30/04"
"STU","0303","ATOKA","003.0000000%","04/01/06","00/00/00","002.5000000%","01/01/95","03/31/06","002.0000000%","07/01/89","12/31/94"
"STU","0304","BENTLEY","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0307","CANEY","002.0000000%","04/01/05","00/00/00","000.0000000%","00/00/00","03/31/05","000.0000000%","00/00/00","00/00/00"
"STU","0313","DAISY","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0314","FARRIS","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0315","LANE","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0317","STRINGTOWN","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0318","TUSHKA","003.5000000%","07/01/13","00/00/00","000.0000000%","00/00/00","06/30/13","000.0000000%","00/00/00","00/00/00"
"STU","0319","WARDVILLE","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0388","ATOKA COUNTY","002.0000000%","04/01/07","00/00/00","001.5000000%","02/01/03","03/31/07","001.0000000%","04/01/02","01/31/03"
"STU","0403","BALKO","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0404","BEAVER","002.0000000%","05/01/97","00/00/00","000.0000000%","00/00/00","04/30/97","000.0000000%","00/00/00","00/00/00"
"STU","0405","BOYD","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0408","ELMWOOD","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0409","FORGAN","003.0000000%","01/01/87","00/00/00","000.0000000%","00/00/00","12/31/86","000.0000000%","00/00/00","00/00/00"
